chain_id,chain_family,chain_number,display_name,standard,pitch_in,pitch_mm,strands,status,provenance,needs_review,description,application_tags,materials_available,options_upgrades,roller_dia_in,roller_dia_mm,inner_width_in,inner_width_mm,pin_dia_in,pin_dia_mm,plate_height_in,plate_height_mm,weight_lbs_ft,weight_kg_m,extra_dims_json,tensile_lbs,tensile_kn,working_load_lbs,working_load_kn,temp_min_c,temp_max_c,lubrication,perf_source,pn_tsubaki,pn_donghua,pn_canam,pn_macchain,pn_rexnord,pn_linkbelt,pn_renold,pn_jeffrey,pn_webster,image_url,drawing_url,uniking_notes
TSU-RF10150,Conveyor Roller Chains,RF10150,Tsubaki RF10150 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),5.906,150,1,Active,catalog-verified,FALSE,"Tsubaki RF10150 large size conveyor chain, 150 mm pitch, 113 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A1-A2-K1-K2-SA2-SK2-GA2-GA4 attachments,,,,,,,,,5.38,8,,25400,113,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF10150,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF12200,Conveyor Roller Chains,RF12200,Tsubaki RF12200 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),7.874,200,1,Active,catalog-verified,FALSE,"Tsubaki RF12200 large size conveyor chain, 200 mm pitch, 186 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A1-A2-K1-K2-SA2-SK2-GA2-GA4 attachments,,,,,,,,,7.80,11.6,,41810,186,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF12200,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF12250,Conveyor Roller Chains,RF12250,Tsubaki RF12250 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),9.843,250,1,Active,catalog-verified,FALSE,"Tsubaki RF12250 large size conveyor chain, 250 mm pitch, 186 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A1-A2-K1-K2-SA2-SK2 attachments,,,,,,,,,6.99,10.4,,41810,186,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF12250,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF17200,Conveyor Roller Chains,RF17200,Tsubaki RF17200 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),7.874,200,1,Active,catalog-verified,FALSE,"Tsubaki RF17200 large size conveyor chain, 200 mm pitch, 245 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A1-A2-K1-K2-GA2-GA4 attachments,,,,,,,,,13.44,20,,55080,245,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF17200,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF17250,Conveyor Roller Chains,RF17250,Tsubaki RF17250 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),9.843,250,1,Active,catalog-verified,FALSE,"Tsubaki RF17250 large size conveyor chain, 250 mm pitch, 245 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A1-A2-K1-K2-GA2-GA4 attachments,,,,,,,,,11.42,17,,55080,245,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF17250,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF17300,Conveyor Roller Chains,RF17300,Tsubaki RF17300 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),11.811,300,1,Active,catalog-verified,FALSE,"Tsubaki RF17300 large size conveyor chain, 300 mm pitch, 245 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A2-K2-GA2 attachments,,,,,,,,,10.75,16,,55080,245,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF17300,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF26200,Conveyor Roller Chains,RF26200,Tsubaki RF26200 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),7.874,200,1,Active,catalog-verified,FALSE,"Tsubaki RF26200 large size conveyor chain, 200 mm pitch, 314 kN average tensile (DT series). S/M roller standard attachments. Available in DT/GT/CT/AT/BT tiers and stainless/coated series.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|S-M rollers|A2-K2-GA2-GA4 attachments,,,,,,,,,,,,70590,314,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF26200,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg. Mass not listed for this size/roller combo in fetched pages.
TSU-RF26250,Conveyor Roller Chains,RF26250,Tsubaki RF26250 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),9.843,250,1,Active,catalog-verified,FALSE,"Tsubaki RF26250 large size conveyor chain, 250 mm pitch, 314 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A2-K2-GA2-GA4 attachments,,,,,,,,,17.47,26,,70590,314,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF26250,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF26300,Conveyor Roller Chains,RF26300,Tsubaki RF26300 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),11.811,300,1,Active,catalog-verified,FALSE,"Tsubaki RF26300 large size conveyor chain, 300 mm pitch, 314 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A2-K2-GA2-GA4 attachments,,,,,,,,,15.46,23,,70590,314,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF26300,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF26450,Conveyor Roller Chains,RF26450,Tsubaki RF26450 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),17.717,450,1,Active,catalog-verified,FALSE,"Tsubaki RF26450 large size conveyor chain, 450 mm pitch, 314 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; welded A2/A3 attachments.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A2-A3 welded attachments,,,,,,,,,12.77,19,,70590,314,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF26450,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF36250,Conveyor Roller Chains,RF36250,Tsubaki RF36250 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),9.843,250,1,Active,catalog-verified,FALSE,"Tsubaki RF36250 large size conveyor chain, 250 mm pitch, 476 kN average tensile (DT series). 25.4 mm pin, 76.2 mm plate height. S/M rollers at this pitch.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|S-M rollers|GA4 attachments,,,,,1.000,25.4,3.000,76.2,16.80,25,"{""plate_thickness_mm"": 12.7}",107010,476,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF36250,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg. Mass is S-roller value.
TSU-RF36300,Conveyor Roller Chains,RF36300,Tsubaki RF36300 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),11.811,300,1,Active,catalog-verified,FALSE,"Tsubaki RF36300 large size conveyor chain, 300 mm pitch, 476 kN average tensile (DT series). 25.4 mm pin, 76.2 mm plate height. R, F, S, M rollers.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A2-A3 welded-GA2-GA4 attachments,,,,,1.000,25.4,3.000,76.2,26.88,40,"{""plate_thickness_mm"": 12.7}",107010,476,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF36300,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF36450,Conveyor Roller Chains,RF36450,Tsubaki RF36450 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),17.717,450,1,Active,catalog-verified,FALSE,"Tsubaki RF36450 large size conveyor chain, 450 mm pitch, 476 kN average tensile (DT series). 25.4 mm pin, 76.2 mm plate height. R, F, S, M rollers.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A2-A3 welded-GA2 attachments,,,,,1.000,25.4,3.000,76.2,21.50,32,"{""plate_thickness_mm"": 12.7}",107010,476,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF36450,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF36600,Conveyor Roller Chains,RF36600,Tsubaki RF36600 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),23.622,600,1,Active,catalog-verified,FALSE,"Tsubaki RF36600 large size conveyor chain, 600 mm pitch, 476 kN average tensile (DT series). 25.4 mm pin, 76.2 mm plate height. R, F, S, M rollers.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A2-A3 welded-GA2 attachments,,,,,1.000,25.4,3.000,76.2,18.82,28,"{""plate_thickness_mm"": 12.7}",107010,476,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF36600,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
