chain_id,brand,brand_part_number,brand_series,equivalency_type,confidence
LF-LL2466,Donghua,LL2466,,Direct,High
LF-LL2488,Donghua,LL2488,,Direct,High
LF-LL2822,Donghua,LL2822,,Direct,High
LF-LL2844,Donghua,LL2844,,Direct,High
LF-LL2866,Donghua,LL2866,,Direct,High
LF-LL2888,Donghua,LL2888,,Direct,High
LF-LL3222,Donghua,LL3222,,Direct,High
LF-LL3244,Donghua,LL3244,,Direct,High
LF-LL3266,Donghua,LL3266,,Direct,High
LF-LL3288,Donghua,LL3288,,Direct,High
LF-LL4022,Donghua,LL4022,,Direct,High
LF-LL4044,Donghua,LL4044,,Direct,High
LF-LL4066,Donghua,LL4066,,Direct,High
LF-LL4088,Donghua,LL4088,,Direct,High
LF-LL4822,Donghua,LL4822,,Direct,High
LF-LL4844,Donghua,LL4844,,Direct,High
LF-LL4866,Donghua,LL4866,,Direct,High
LF-LL4888,Donghua,LL4888,,Direct,High
WS-WR78,Donghua,WR78,,Direct,High
WS-WR78,MAC Chain,WR78,,Direct,High
WS-WH78,Donghua,WH78,,Direct,High
WS-WH78,Rexnord,WH78,,Direct,High
WS-WR82,Donghua,WR82,,Direct,High
WS-WR82,MAC Chain,WR82,,Direct,High
WS-WH82,Donghua,WH82,,Direct,High
WS-WH82,Rexnord,WH82,,Direct,High
WS-WR106,Donghua,WR106,,Direct,High
WS-WR106,MAC Chain,WR106,,Direct,High
WS-WH106,Donghua,WH106,,Direct,High
WS-WR110,Donghua,WR110,,Direct,High
WS-WH110,Donghua,WH110,,Direct,High
WS-WH110,Rexnord,WH110,,Direct,High
WS-WR111,Donghua,WR111,,Direct,High
WS-WR111,MAC Chain,WR111,,Direct,High
WS-WH111,Donghua,WH111,,Direct,High
WS-WR124,Donghua,WR124,,Direct,High
WS-WR124,MAC Chain,WR124,,Direct,High
WS-WH124,Donghua,WH124,,Direct,High
WS-WR124H,Donghua,WR124H,,Direct,High
WS-WH124H,Donghua,WH124H,,Direct,High
WS-WR132,Donghua,WR132,,Direct,High
WS-WR132,MAC Chain,WR132,,Direct,High
WS-WH132,Donghua,WH132,,Direct,High
WS-WR150,Donghua,WR150,,Direct,High
WS-WR150,MAC Chain,WR150,,Direct,High
WS-WH150,Donghua,WH150,,Direct,High
WS-WR155,Donghua,WR155,,Direct,High
WS-WH155,Donghua,WH155,,Direct,High
WS-WR157,Donghua,WR157,,Direct,High
WS-WR157,MAC Chain,WR157,,Direct,High
WS-WH157,Donghua,WH157,,Direct,High
WD-WD104,Donghua,WD104,,Direct,High
WD-WD104,MAC Chain,WD104,,Direct,High
WD-WD102,Donghua,WD102,,Direct,High
WD-WD102,MAC Chain,WD102,,Direct,High
WD-WD110,Donghua,WD110,,Direct,High
WD-WD110,MAC Chain,WD110,,Direct,High
WD-WD112,Donghua,WD112,,Direct,High
WD-WD112,MAC Chain,WD112,,Direct,High
WD-WD113,Donghua,WD113,,Direct,High
WD-WD116,Donghua,WD116,,Direct,High
WD-WD116,MAC Chain,WD116,,Direct,High
WD-WD118,Donghua,WD118,,Direct,High
WD-WD118,MAC Chain,WD118,,Direct,High
WD-WD122,Donghua,WD122,,Direct,High
WD-WD122,MAC Chain,WD122,,Direct,High
WD-WD480,Donghua,WD480,,Direct,High
WD-WD480,MAC Chain,WD480,,Direct,High
DH-OILFIELD-80,Donghua,16S-1,,Direct,High
DH-OILFIELD-100,Donghua,20S-1,,Direct,High
DH-OILFIELD-120,Donghua,24S-1,,Direct,High
DH-OILFIELD-140,Donghua,28S-1,,Direct,High
DH-OILFIELD-160,Donghua,32S-1,,Direct,High
DH-OILFIELD-180,Donghua,36S-1,,Direct,High
DH-OILFIELD-200,Donghua,40S-1,,Direct,High
DH-OILFIELD-80-2,Donghua,16S-2,,Direct,High
DH-OILFIELD-100-2,Donghua,20S-2,,Direct,High
DH-OILFIELD-120-2,Donghua,24S-2,,Direct,High
DH-OILFIELD-140-2,Donghua,28S-2,,Direct,High
DH-OILFIELD-160-2,Donghua,32S-2,,Direct,High
DH-OILFIELD-180-2,Donghua,36S-2,,Direct,High
DH-OILFIELD-200-2,Donghua,40S-2,,Direct,High
DH-OILFIELD-80-3,Donghua,16S-3,,Direct,High
DH-OILFIELD-100-3,Donghua,20S-3,,Direct,High
DH-OILFIELD-120-3,Donghua,24S-3,,Direct,High
DH-OILFIELD-140-3,Donghua,28S-3,,Direct,High
DH-OILFIELD-160-3,Donghua,32S-3,,Direct,High
DH-OILFIELD-180-3,Donghua,36S-3,,Direct,High
DH-OILFIELD-200-3,Donghua,40S-3,,Direct,High
DH-OILFIELD-200H-3,Donghua,40HS-3,,Direct,High
DH-OILFIELD-80-4,Donghua,16S-4,,Direct,High
DH-OILFIELD-100-4,Donghua,20S-4,,Direct,High
DH-OILFIELD-120-4,Donghua,24S-4,,Direct,High
DH-OILFIELD-140-4,Donghua,28S-4,,Direct,High
DH-OILFIELD-160-4,Donghua,32S-4,,Direct,High
DH-OILFIELD-200-4,Donghua,40S-4,,Direct,High
DH-OILFIELD-80-5,Donghua,16S-5,,Direct,High
DH-OILFIELD-100-5,Donghua,20S-5,,Direct,High
DH-OILFIELD-120-5,Donghua,24S-5,,Direct,High
DH-OILFIELD-140-5,Donghua,28S-5,,Direct,High
DH-OILFIELD-160-5,Donghua,32S-5,,Direct,High
DH-OILFIELD-80-6,Donghua,16S-6,,Direct,High
DH-OILFIELD-100-6,Donghua,20S-6,,Direct,High
DH-OILFIELD-120-6,Donghua,24S-6,,Direct,High
DH-OILFIELD-140-6,Donghua,28S-6,,Direct,High
DH-OILFIELD-160-6,Donghua,32S-6,,Direct,High
DH-OILFIELD-200-6,Donghua,40S-6,,Direct,High
DH-OILFIELD-80-8,Donghua,16S-8,,Direct,High
DH-OILFIELD-100-8,Donghua,20S-8,,Direct,High
DH-OILFIELD-120-8,Donghua,24S-8,,Direct,High
DH-OILFIELD-140-8,Donghua,28S-8,,Direct,High
REX-RR362,Rexnord,RR362,,Direct,High
REX-RR362,Link-Belt,RS625,,Direct,High
REX-RR432,Rexnord,RR432,,Direct,High
REX-RR432,Link-Belt,RS627,,Direct,High
REX-81X,Rexnord,81X,,Direct,High
REX-81X,Link-Belt,RS81X,,Direct,High
REX-81X,MAC Chain,81X,,Direct,High
REX-C1288,Rexnord,C1288,,Direct,High
REX-C1288,Link-Belt,SS1088,,Direct,High
REX-1578,Rexnord,1578,,Direct,High
REX-RR778,Rexnord,RR778,,Direct,High
REX-RR778,Link-Belt,RS886,,Direct,High
REX-RR588,Rexnord,RR588,,Direct,High
REX-RR588,Link-Belt,RS887,,Direct,High
REX-81XH,Renold,81XH,,Direct,High
REX-81XH,Rexnord,81XH,,Direct,High
REX-81XH,Link-Belt,RS81XH,,Direct,High
REX-81XHH,Renold,81XHH,,Direct,High
REX-81XHH,Rexnord,81XHH,,Direct,High
REX-81XHH,Link-Belt,RS81XHH,,Direct,High
REX-270,Rexnord,270,,Direct,High
REX-270,Link-Belt,SS2004,,Direct,High
REX-7774,Rexnord,7774,,Direct,High
REX-SR183,Rexnord,SR183,,Direct,High
REX-SR183,Link-Belt,RS3013,,Direct,High
REX-A4539,Rexnord,A4539,,Direct,High
REX-1539,Rexnord,1539,,Direct,High
REX-1539,Link-Belt,RS1539,,Direct,High
REX-7539,Rexnord,7539,,Direct,High
REX-RR1120,Rexnord,RR1120,,Direct,High
REX-RR1120,Link-Belt,RS4013,,Direct,High
REX-SR194,Rexnord,SR194,,Direct,High
REX-SR194,Link-Belt,RS4216,,Direct,High
REX-SR188,Rexnord,SR188,,Direct,High
REX-4,Rexnord,4,,Direct,High
REX-4,Link-Belt,RS4019,,Direct,High
REX-2188,Rexnord,2188,,Direct,High
REX-2188,Link-Belt,RS2188,,Direct,High
REX-531,Rexnord,531,,Direct,High
REX-531,Link-Belt,RS4328,,Direct,High
REX-ER3433,Rexnord,ER3433,,Direct,High
REX-A2868,Rexnord,A2868,,Direct,High
REX-3420,Rexnord,3420,,Direct,High
REX-3420,Link-Belt,RS1113,,Direct,High
REX-C2848,Rexnord,C2848,,Direct,High
REX-2858,Rexnord,2858,,Direct,High
REX-3285,Rexnord,3285,,Direct,High
REX-SR196,Rexnord,SR196,,Direct,High
REX-SR196,Link-Belt,RS6018,,Direct,High
REX-1604,Rexnord,1604,,Direct,High
REX-2126,Rexnord,2126,,Direct,High
REX-2126,Link-Belt,RS1116,,Direct,High
REX-2190,Rexnord,2190,,Direct,High
REX-2190,Link-Belt,RS2190,,Direct,High
REX-1670,Rexnord,1670,,Direct,High
REX-SR1114,Rexnord,SR1114,,Direct,High
REX-SR1114,Link-Belt,RS1114,,Direct,High
REX-2180,Rexnord,2180,,Direct,High
REX-S951,Rexnord,S951,,Direct,High
REX-2183,Rexnord,2183,,Direct,High
REX-2183,Link-Belt,RS951,,Direct,High
REX-1036,Rexnord,1036,,Direct,High
REX-1617,Rexnord,1617,,Direct,High
REX-SR3130,Rexnord,SR3130,,Direct,High
REX-6,Rexnord,6,,Direct,High
REX-6,Link-Belt,RS6238,,Direct,High
REX-RR542,Rexnord,RR542,,Direct,High
REX-BR2111,Rexnord,BR2111,,Direct,High
REX-BR2111,Link-Belt,RS944,,Direct,High
REX-C2124,Rexnord,C2124,,Direct,High
REX-A2124,Rexnord,A2124,,Direct,High
REX-A2124,Link-Belt,RS996,,Direct,High
REX-RS1131,Rexnord,RS1131,,Direct,High
REX-RS1131,Link-Belt,RS1131,,Direct,High
REX-FX2184,Rexnord,FX2184,,Direct,High
REX-FX2184,Link-Belt,RO2184,,Direct,High
REX-FX9184,Rexnord,FX9184,,Direct,High
REX-A2178,Rexnord,A2178,,Direct,High
REX-A2198,Rexnord,A2198,,Direct,High
REX-A2198,Link-Belt,RS960,,Direct,High
REX-5208,Rexnord,5208,,Direct,High
REX-C9856,Rexnord,C9856,,Direct,High
REX-B9856,Rexnord,B9856,,Direct,High
REX-A2800,Rexnord,A2800,,Direct,High
REX-1039,Rexnord,1039,,Direct,High
REX-ER911,Rexnord,ER911,,Direct,High
REX-ER911,Link-Belt,RS911,,Direct,High
REX-ER922,Rexnord,ER922,,Direct,High
REX-ER922,Link-Belt,SS927,,Direct,High
REX-FR922,Rexnord,FR922,,Direct,High
REX-FR922,Link-Belt,SS922,,Direct,High
REX-R2342,Rexnord,R2342,,Direct,High
REX-R2405,Rexnord,R2405,,Direct,High
REX-ER933,Rexnord,ER933,,Direct,High
REX-FR933,Rexnord,FR933,,Direct,High
REX-FR933,Link-Belt,SS933,,Direct,High
REX-R4009,Rexnord,R4009,,Direct,High
REX-R4009,Link-Belt,RS4851,,Direct,High
REX-X4004,Rexnord,X4004,,Direct,High
REX-X4004,Link-Belt,RS4852,,Direct,High
REX-4065,Rexnord,4065,,Direct,High
REX-4065,Link-Belt,RS4065,,Direct,High
REX-E1211,Rexnord,E1211,,Direct,High
REX-E1211,Link-Belt,RS1211,,Direct,High
REX-ER1222,Rexnord,ER1222,,Direct,High
REX-ER1222,Link-Belt,SS1227,,Direct,High
REX-FR1222,Rexnord,FR1222,,Direct,High
REX-FR1222,Link-Belt,SS1222,,Direct,High
REX-R1251,Rexnord,R1251,,Direct,High
REX-ER1233,Rexnord,ER1233,,Direct,High
REX-FR1233,Rexnord,FR1233,,Direct,High
REX-FR1233,Link-Belt,SS1233,,Direct,High
REX-RR2397,Rexnord,RR2397,,Direct,High
REX-4011,Rexnord,4011,,Direct,High
REX-ER1244,Rexnord,ER1244,,Direct,High
REX-FR1244,Rexnord,FR1244,,Direct,High
REX-R1706,Rexnord,R1706,,Direct,High
REX-R2614,Rexnord,R2614,,Direct,High
REX-R4010,Rexnord,R4010,,Direct,High
REX-ER1822,Rexnord,ER1822,,Direct,High
REX-FR1822,Rexnord,FR1822,,Direct,High
REX-F1833,Rexnord,F1833,,Direct,High
REX-FR1844,Rexnord,FR1844,,Direct,High
REX-S188,Rexnord,S188,,Direct,High
REX-S188,Link-Belt,SBS188,,Direct,High
REX-ER131,Rexnord,ER131,,Direct,High
REX-ER131,Link-Belt,SBS131,,Direct,High
REX-1536,Rexnord,1536,,Direct,High
REX-1536,Link-Belt,SBS1972,,Direct,High
REX-1535,Rexnord,1535,,Direct,High
REX-1535,Link-Belt,SBS2162,,Direct,High
REX-ER102B,Rexnord,ER102B,,Direct,High
REX-ER102B,Link-Belt,SBS102B,,Direct,High
REX-ER1025,Rexnord,ER1025,,Direct,High
REX-ER1025,Link-Belt,SBS102.5,,Direct,High
REX-ER111,Rexnord,ER111,,Direct,High
REX-ER111,Link-Belt,SBS111,,Direct,High
REX-SR830,Rexnord,SR830,,Direct,High
REX-ER110,Rexnord,ER110,,Direct,High
REX-ER110,Link-Belt,SBS110,,Direct,High
REX-ER833,Rexnord,ER833,,Direct,High
REX-SR844,Rexnord,SR844,,Direct,High
REX-SR844,Link-Belt,SBS844,,Direct,High
REX-6826,Rexnord,6826,,Direct,High
REX-ER856,Rexnord,ER856,,Direct,High
REX-ER856,Link-Belt,SBX856,,Direct,High
REX-ER956,Rexnord,ER956,,Direct,High
REX-ER857,Rexnord,ER857,,Direct,High
REX-ER857,Link-Belt,SBX2857,,Direct,High
REX-ER958,Rexnord,ER958,,Direct,High
REX-ER859,Rexnord,ER859,,Direct,High
REX-ER859,Link-Belt,SBX2859,,Direct,High
REX-ER150,Rexnord,ER150,,Direct,High
REX-ER150,Link-Belt,SBS150,,Direct,High
REX-SX175,Rexnord,SX175,,Direct,High
REX-ER864,Rexnord,ER864,,Direct,High
REX-ER864,Link-Belt,SBX2864,,Direct,High
REX-ER984,Rexnord,ER984,,Direct,High
REX-SX886,Rexnord,SX886,,Direct,High
REX-WHX124,Rexnord,WHX124,,Direct,High
REX-WHX124HD,Rexnord,WHX124HD,,Direct,High
REX-WHX111,Rexnord,WHX111,,Direct,High
REX-WHX106,Rexnord,WHX106,,Direct,High
REX-WHX132,Rexnord,WHX132,,Direct,High
REX-WHX150,Rexnord,WHX150,,Direct,High
REX-WHX155,Rexnord,WHX155,,Direct,High
REX-WHX157,Rexnord,WHX157,,Direct,High
REX-WHX2855,Rexnord,WHX2855,,Direct,High
REX-WHX3855,Rexnord,WHX3855,,Direct,High
REX-WHX159,Rexnord,WHX159,,Direct,High
REX-WHX4855,Rexnord,WHX4855,,Direct,High
REX-WDH104,Rexnord,WDH104,,Direct,High
REX-WDH110,Rexnord,WDH110,,Direct,High
REX-WDH113,Rexnord,WDH113,,Direct,High
REX-WDH120,Rexnord,WDH120,,Direct,High
REX-WDH112,Rexnord,WDH112,,Direct,High
REX-WDH116,Rexnord,WDH116,,Direct,High
REX-WDH118,Rexnord,WDH118,,Direct,High
REX-WDH480,Rexnord,WDH480,,Direct,High
REX-WDH580,Rexnord,WDH580,,Direct,High
REX-WDH680,Rexnord,WDH680,,Direct,High
REX-WDH2210,Rexnord,WDH2210,,Direct,High
REX-WDH2316,Rexnord,WDH2316,,Direct,High
REX-WDH2380,Rexnord,WDH2380,,Direct,High
REX-WHX5157,Rexnord,WHX5157,,Direct,High
REX-WHX6067,Rexnord,WHX6067,,Direct,High
REX-WHX5121,Rexnord,WHX5121,,Direct,High
REX-WHX6121,Rexnord,WHX6121,,Direct,High
REX-468,Rexnord,468,,Direct,High
REX-468,Can-Am,468,,Direct,High
REX-698,Rexnord,698,,Direct,High
REX-698,Can-Am,698,,Direct,High
REX-998,Rexnord,998,,Direct,High
REX-998,Can-Am,998,,Direct,High
REX-9118,Rexnord,9118,,Direct,High
REX-9118,Can-Am,9118,,Direct,High
REX-X348,Rexnord,X348,,Direct,High
REX-X458,Rexnord,X458,,Direct,High
REX-X678,Rexnord,X678,,Direct,High
REX-S348,Rexnord,S348,,Direct,High
REX-S458,Rexnord,S458,,Direct,High
REX-S468,Rexnord,S468,,Direct,High
REX-S678,Rexnord,S678,,Direct,High
REX-S698,Rexnord,S698,,Direct,High
REX-S998,Rexnord,S998,,Direct,High
REX-945,Rexnord,945,,Direct,High
REX-955,Rexnord,955,,Direct,High
REX-977,Rexnord,977,,Direct,High
REX-988,Rexnord,988,,Direct,High
REX-C9103,Rexnord,C9103,,Direct,High
REX-C720,Rexnord,C720,,Direct,High
REX-720S,Rexnord,720S,,Direct,High
REX-720S,Webster,720S,,Direct,High
REX-A730,Rexnord,A730,,Direct,High
REX-CS720S,Rexnord,CS720S,,Direct,High
REX-CS730,Rexnord,CS730,,Direct,High
REX-REXC55,Rexnord,RexC55,,Direct,High
REX-REXC77,Rexnord,RexC77,,Direct,High
REX-REXC188,Rexnord,RexC188,,Direct,High
REX-REXC131,Rexnord,RexC131,,Direct,High
REX-REXC102B,Rexnord,RexC102B,,Direct,High
REX-REXC1025,Rexnord,RexC1025,,Direct,High
