chain_id,chain_family,chain_number,display_name,standard,pitch_in,pitch_mm,strands,status,provenance,needs_review,description,application_tags,materials_available,options_upgrades,roller_dia_in,roller_dia_mm,inner_width_in,inner_width_mm,pin_dia_in,pin_dia_mm,plate_height_in,plate_height_mm,weight_lbs_ft,weight_kg_m,extra_dims_json,tensile_lbs,tensile_kn,working_load_lbs,working_load_kn,temp_min_c,temp_max_c,lubrication,perf_source,pn_tsubaki,image_url,drawing_url,uniking_notes
LF-BL546,Leaf Chains,BL546,BL546 Leaf Chain (4x6 lacing),ASME/ANSI B29.8,0.625,15.875,1,Active,catalog-verified,FALSE,"BL546 heavy-series leaf chain, 15.875 mm (0.625 in) pitch, 4x6 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.234,5.94,,,,,"{""lacing"": ""4x6"", ""overall_pin_length_in"": 1.083, ""overall_pin_length_mm"": 27.51}",15000,66.7,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL546,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 17600 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL566,Leaf Chains,BL566,BL566 Leaf Chain (6x6 lacing),ASME/ANSI B29.8,0.625,15.875,1,Active,catalog-verified,FALSE,"BL566 heavy-series leaf chain, 15.875 mm (0.625 in) pitch, 6x6 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.234,5.94,,,,,"{""lacing"": ""6x6"", ""overall_pin_length_in"": 1.278, ""overall_pin_length_mm"": 32.46}",22500,100.1,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL566,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 26400 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL622,Leaf Chains,BL622,BL622 Leaf Chain (2x2 lacing),ASME/ANSI B29.8,0.75,19.05,1,Active,catalog-verified,FALSE,"BL622 heavy-series leaf chain, 19.05 mm (0.75 in) pitch, 2x2 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.312,7.92,,,,,"{""lacing"": ""2x2"", ""overall_pin_length_in"": 0.645, ""overall_pin_length_mm"": 16.38}",11000,48.9,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL622,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 14300 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL623,Leaf Chains,BL623,BL623 Leaf Chain (2x3 lacing),ASME/ANSI B29.8,0.75,19.05,1,Active,catalog-verified,FALSE,"BL623 heavy-series leaf chain, 19.05 mm (0.75 in) pitch, 2x3 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.312,7.92,,,,,"{""lacing"": ""2x3"", ""overall_pin_length_in"": 0.778, ""overall_pin_length_mm"": 19.76}",11000,48.9,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL623,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 14300 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL634,Leaf Chains,BL634,BL634 Leaf Chain (3x4 lacing),ASME/ANSI B29.8,0.75,19.05,1,Active,catalog-verified,FALSE,"BL634 heavy-series leaf chain, 19.05 mm (0.75 in) pitch, 3x4 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.312,7.92,,,,,"{""lacing"": ""3x4"", ""overall_pin_length_in"": 1.041, ""overall_pin_length_mm"": 26.44}",17000,75.6,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL634,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 21500 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL644,Leaf Chains,BL644,BL644 Leaf Chain (4x4 lacing),ASME/ANSI B29.8,0.75,19.05,1,Active,catalog-verified,FALSE,"BL644 heavy-series leaf chain, 19.05 mm (0.75 in) pitch, 4x4 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.312,7.92,,,,,"{""lacing"": ""4x4"", ""overall_pin_length_in"": 1.173, ""overall_pin_length_mm"": 29.79}",22000,97.9,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL644,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 28500 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL646,Leaf Chains,BL646,BL646 Leaf Chain (4x6 lacing),ASME/ANSI B29.8,0.75,19.05,1,Active,catalog-verified,FALSE,"BL646 heavy-series leaf chain, 19.05 mm (0.75 in) pitch, 4x6 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.312,7.92,,,,,"{""lacing"": ""4x6"", ""overall_pin_length_in"": 1.437, ""overall_pin_length_mm"": 36.5}",22000,97.9,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL646,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 28500 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL666,Leaf Chains,BL666,BL666 Leaf Chain (6x6 lacing),ASME/ANSI B29.8,0.75,19.05,1,Active,catalog-verified,FALSE,"BL666 heavy-series leaf chain, 19.05 mm (0.75 in) pitch, 6x6 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.312,7.92,,,,,"{""lacing"": ""6x6"", ""overall_pin_length_in"": 1.701, ""overall_pin_length_mm"": 43.21}",33000,146.8,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL666,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 43000 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL822,Leaf Chains,BL822,BL822 Leaf Chain (2x2 lacing),ASME/ANSI B29.8,1,25.4,1,Active,catalog-verified,FALSE,"BL822 heavy-series leaf chain, 25.4 mm (1 in) pitch, 2x2 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.375,9.53,,,,,"{""lacing"": ""2x2"", ""overall_pin_length_in"": 0.794, ""overall_pin_length_mm"": 20.17}",19000,84.5,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL822,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 23100 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL823,Leaf Chains,BL823,BL823 Leaf Chain (2x3 lacing),ASME/ANSI B29.8,1,25.4,1,Active,catalog-verified,FALSE,"BL823 heavy-series leaf chain, 25.4 mm (1 in) pitch, 2x3 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.375,9.53,,,,,"{""lacing"": ""2x3"", ""overall_pin_length_in"": 0.953, ""overall_pin_length_mm"": 24.21}",19000,84.5,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL823,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 23100 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL834,Leaf Chains,BL834,BL834 Leaf Chain (3x4 lacing),ASME/ANSI B29.8,1,25.4,1,Active,catalog-verified,FALSE,"BL834 heavy-series leaf chain, 25.4 mm (1 in) pitch, 3x4 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.375,9.53,,,,,"{""lacing"": ""3x4"", ""overall_pin_length_in"": 1.281, ""overall_pin_length_mm"": 32.54}",29000,129.0,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL834,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 34800 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL844,Leaf Chains,BL844,BL844 Leaf Chain (4x4 lacing),ASME/ANSI B29.8,1,25.4,1,Active,catalog-verified,FALSE,"BL844 heavy-series leaf chain, 25.4 mm (1 in) pitch, 4x4 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.375,9.53,,,,,"{""lacing"": ""4x4"", ""overall_pin_length_in"": 1.453, ""overall_pin_length_mm"": 36.91}",38000,169.0,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL844,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 46200 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL846,Leaf Chains,BL846,BL846 Leaf Chain (4x6 lacing),ASME/ANSI B29.8,1,25.4,1,Active,catalog-verified,FALSE,"BL846 heavy-series leaf chain, 25.4 mm (1 in) pitch, 4x6 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.375,9.53,,,,,"{""lacing"": ""4x6"", ""overall_pin_length_in"": 1.772, ""overall_pin_length_mm"": 45.01}",38000,169.0,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL846,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 46200 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL866,Leaf Chains,BL866,BL866 Leaf Chain (6x6 lacing),ASME/ANSI B29.8,1,25.4,1,Active,catalog-verified,FALSE,"BL866 heavy-series leaf chain, 25.4 mm (1 in) pitch, 6x6 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.375,9.53,,,,,"{""lacing"": ""6x6"", ""overall_pin_length_in"": 2.098, ""overall_pin_length_mm"": 53.29}",57000,253.5,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL866,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 69500 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL1022,Leaf Chains,BL1022,BL1022 Leaf Chain (2x2 lacing),ASME/ANSI B29.8,1.25,31.75,1,Active,catalog-verified,FALSE,"BL1022 heavy-series leaf chain, 31.75 mm (1.25 in) pitch, 2x2 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.437,11.1,,,,,"{""lacing"": ""2x2"", ""overall_pin_length_in"": 0.944, ""overall_pin_length_mm"": 23.98}",26000,115.7,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL1022,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 31700 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
